date,sentiment,close,volume,amount,turnover_rate,pct_change
2025-06-11,0.0,250.5,279934,7006354612.0,0.72,0.0
2025-06-12,0.0,249.81,175696,4386403720.0,0.45,-0.28
2025-06-13,0.0,248.2,174032,4322411795.0,0.45,-0.64
2025-06-16,0.0,246.66,122176,3013514215.0,0.31,-0.62
2025-06-17,0.0,246.26,97650,2407928749.0,0.25,-0.16
2025-06-18,0.0,245.57,104606,2586543839.0,0.27,-0.28
2025-06-19,0.0,242.1,147985,3604508604.0,0.38,-1.41
2025-06-20,0.0,240.26,136883,3293985956.0,0.35,-0.76
2025-06-23,0.0,239.61,127099,3040680713.0,0.33,-0.27
2025-06-24,0.0,245.92,235011,5767361453.0,0.6,2.63
2025-06-25,0.0,254.9,315377,7930320892.0,0.81,3.65
2025-06-26,0.0,252.79,199145,5062386536.0,0.51,-0.83
2025-06-27,0.0,250.99,236201,5985026676.0,0.61,-0.71
2025-06-30,0.0,252.22,176234,4434817078.0,0.41,0.49
2025-07-01,0.0,251.5,95323,2395104336.0,0.22,-0.29
2025-07-02,0.0,250.45,115714,2897311834.0,0.27,-0.42
2025-07-03,0.0,262.59,338037,8746803693.0,0.79,4.85
2025-07-04,0.0,265.8,272060,7214227943.0,0.64,1.22
2025-07-07,0.0,260.89,174665,4568972964.0,0.41,-1.85
2025-07-08,0.0,263.31,155923,4104293094.0,0.37,0.93
2025-07-09,0.0,270.8,293884,7948423738.0,0.69,2.84
2025-07-10,0.0,272.0,242393,6594201202.0,0.57,0.44
2025-07-11,0.0,271.5,213282,5798544034.0,0.5,-0.18
2025-07-14,0.0,268.5,149789,4013693003.0,0.35,-1.1
2025-07-15,0.0,267.75,169526,4553827628.0,0.4,-0.28
2025-07-16,0.0,264.4,156265,4135841242.0,0.37,-1.25
2025-07-17,0.0,265.5,145110,3852746250.0,0.34,0.42
2025-07-18,0.0,271.2,221866,5981601234.0,0.52,2.15
2025-07-21,0.0,279.66,324863,9047295148.0,0.76,3.12
2025-07-22,0.0,286.66,333090,9468912161.0,0.78,2.5
2025-07-23,0.0,287.02,200190,5772653125.0,0.47,0.13
2025-07-24,0.0,285.2,223891,6394082072.0,0.53,-0.63
2025-07-25,0.0,282.8,134326,3802835260.0,0.32,-0.84
2025-07-28,0.0,286.3,238973,6830867028.0,0.56,1.24
2025-07-29,0.0,291.82,233946,6785427583.0,0.55,1.93
2025-07-30,0.0,277.09,415943,11712764593.0,0.98,-5.05
2025-07-31,0.0,264.62,447104,12088514551.0,1.05,-4.5
2025-08-01,0.0,263.07,252500,6682814646.0,0.59,-0.59
2025-08-04,0.0,266.48,237682,6286238371.0,0.56,1.3
2025-08-05,0.0,265.7,219760,5844478669.0,0.52,-0.29
2025-08-06,0.0,265.0,153233,4058482395.0,0.36,-0.26
2025-08-07,0.0,263.05,165481,4363462114.0,0.39,-0.74
2025-08-08,0.0,263.48,174282,4604736202.0,0.41,0.16
2025-08-11,0.0,263.66,213309,5627553110.0,0.5,0.07
2025-08-12,0.0,263.25,222407,5829140856.0,0.52,-0.16
2025-08-13,0.0,273.6,394668,10661084796.0,0.93,3.93
2025-08-14,0.0,279.89,371708,10378442059.0,0.87,2.3
2025-08-15,0.0,280.67,241092,6735591187.0,0.57,0.28
2025-08-18,0.0,283.0,285288,8056186541.0,0.67,0.83
2025-08-19,0.0,277.8,244286,6816442573.0,0.57,-1.84
2025-08-20,0.0,279.2,233535,6414344336.0,0.55,0.5
